,Evenement,ETP Gaussian,CS20 P Mean,CS20 P Rapid,CS20 P Karst,CS672 P Mean,CS672 P Rapid,CS672 P Karst,CS2688 P Mean,CS2688 P Rapid,CS2688 P Karst,CS8064 P Mean,CS8064 P Rapid,CS8064 P Karst,P Mean,P Rapid,P Karst,Toulon,Cap Cepet,Cas. SAPC,Castellet,Ste Baume,Meounes,Cuers,H LasLagoubran,Q Lagoubran,T Lagoubran,H Ragas,T Ragas,C Ragas,H StAntoine,Q StAntoine,T StAntoine,C StAntoine,Rapid Model,Karst Model
2012-10-08 10:45:00,1,4.721407042868457e-06,0.0,0.0,0.0,0.9142857142857144,0.2,1.45,11.221428571428572,4.883333333333333,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3470300000000001,0.0402838043930584,17.53,100.928,,,0.088,0.0775207416676681,16.36,558.0,0.36,0.36
2012-10-08 11:00:00,1,4.7183506896661615e-06,0.0,0.0,0.0,0.8857142857142857,0.2,1.4,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467063999999986,0.0397663799497807,17.6,100.928,,,0.089,0.0788029355108537,16.36,558.0,0.36,0.36
2012-10-08 11:15:00,1,4.715295995185493e-06,0.0,0.0,0.0,0.7142857142857143,0.2,1.1,11.221428571428572,4.883333333333333,15.974999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466395999999978,0.0396601441909978,17.65,100.928,,,0.09,0.0800927875867993,16.36,558.0,0.36,0.36
2012-10-08 11:30:00,1,4.712242958766755e-06,0.0,0.0,0.0,0.6857142857142857,0.2,1.05,11.221428571428572,4.883333333333333,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487919999999995,0.0431821366556994,17.72,100.928,,,0.091,0.081390273327062,16.36,558.0,0.36,0.36
2012-10-08 11:45:00,1,4.7091915797503685e-06,0.0,0.0,0.0,0.6857142857142857,0.2,1.0499999999999998,11.221428571428572,4.883333333333333,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494015999999984,0.0442166941975545,17.975,100.928,,,0.091,0.081390273327062,16.36,558.0,0.36,0.36
2012-10-08 12:00:00,1,4.706141857476818e-06,0.0,0.0,0.0,0.6857142857142857,0.2,1.05,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348620799999999,0.0428945320746607,18.03,100.928,,,0.092,0.0826953686168594,16.36,557.0,0.36,0.36
2012-10-08 12:15:00,1,4.7030937912867e-06,0.0,0.0,0.0,0.6857142857142857,0.2,1.0499999999999998,11.221428571428572,4.883333333333333,15.974999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499255999999988,0.0451190397394269,18.0,100.928,,,0.093,0.0840080497815044,16.36,557.0,0.36,0.36
2012-10-08 12:30:00,1,4.700047380520682e-06,0.0,0.0,0.0,0.6714285714285715,0.1666666666666666,1.05,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517063999999994,0.0482757874471118,18.09,100.928,,,0.093,0.0840080497815044,16.36,557.0,0.36,0.36
2012-10-08 12:45:00,1,4.697002624519538e-06,0.0,0.0,0.0,0.6571428571428573,0.1333333333333333,1.05,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3520300000000009,0.0488643627196361,18.28,100.928,,,0.094,0.0853282935733413,16.36,557.0,0.36,0.36
2012-10-08 13:00:00,1,4.693959522624129e-06,0.0,0.0,0.0,0.6571428571428573,0.1333333333333333,1.05,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3547063999999995,0.0539081873493696,18.48,100.928,,,0.094,0.0853282935733413,16.36,557.0,0.36,0.36
2012-10-08 13:15:00,1,4.690918074175396e-06,0.0,0.0,0.0,0.5142857142857142,0.1333333333333333,0.8,11.221428571428572,4.883333333333334,15.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3583828000000011,0.0613469886896518,18.61,100.928,,,0.094,0.0853282935733413,16.35,557.0,0.36,0.36
